combination,accuracy
"('Weekday', 'Year', 'img_count', 'link_count', 'author')","[0.5245433955108435, 0.00987426161396011]"
"('Month', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.524491773959578, 0.010528873944376398]"
"('Month', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5244874200935414, 0.0041810619182080415]"
"('Month', 'title_word_count', 'author', 'channel')","[0.5244462150229101, 0.005246863687874932]"
"('Month', 'Year', 'img_count', 'link_count', 'channel')","[0.524442608548861, 0.0054338301071654715]"
"('Month', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.5244417031872585, 0.007220394228241095]"
"('content_len', 'link_count', 'title_word_count', 'author', 'channel')","[0.5244318558020252, 0.002315072113034206]"
"('channel',)","[0.524430794685841, 0.009294991484804168]"
"('Weekday', 'Hour', 'title_word_count', 'author', 'channel')","[0.5244270168052101, 0.007331980010865203]"
"('Hour', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5244218497487438, 0.007232347588026719]"
"('Year', 'img_count', 'channel')","[0.524410085414503, 0.008285001071966874]"
"('Month', 'Weekday', 'Year', 'title_word_count', 'title_bit_count')","[0.5244013697242763, 0.00718656190853364]"
"('Weekday', 'Day', 'title_word_count', 'author', 'channel')","[0.5243854106666815, 0.00720666369879923]"
"('Month', 'Year', 'link_count', 'channel')","[0.5243817516344053, 0.005346794707232363]"
"('Day', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5243788232426017, 0.01007938046486328]"
"('link_count', 'title_bit_count', 'author', 'channel')","[0.5243779911141122, 0.009836323212030014]"
"('Month', 'Year', 'Hour', 'title_bit_count', 'channel')","[0.5243436755146068, 0.0031032023683201836]"
"('Month', 'Day', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5243235082125364, 0.006160529484336667]"
"('Month', 'Year', 'Hour', 'link_count', 'title_bit_count')","[0.5242873677298082, 0.002749595874443284]"
"('Weekday', 'Year', 'link_count', 'author')","[0.524269025942707, 0.006128259367063657]"
"('Weekday', 'Year', 'Hour', 'content_len', 'channel')","[0.5242598470670325, 0.006650237967548055]"
"('Weekday', 'Year', 'link_count', 'title_bit_count', 'author')","[0.5242041791307087, 0.008717085766233288]"
"('Weekday', 'Hour', 'content_len', 'channel')","[0.5241944540661835, 0.0023192021415665972]"
"('Weekday', 'Year', 'Hour', 'channel')","[0.524189462258634, 0.0039358727640501434]"
"('Month', 'Hour', 'img_count', 'content_len', 'link_count')","[0.5241860141801734, 0.004765593524033458]"
"('Weekday', 'Day', 'img_count', 'author')","[0.5241834435165602, 0.006323422440281185]"
"('Month', 'Day', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5241517191602162, 0.00830006317519626]"
"('Weekday', 'content_len', 'author', 'channel')","[0.5241475552640358, 0.004450430023018442]"
"('Weekday', 'Year', 'content_len', 'title_bit_count', 'channel')","[0.5241395744543599, 0.005375249343917465]"
"('Day', 'Hour', 'content_len', 'author', 'channel')","[0.5241221123430092, 0.006043585200292483]"
"('Weekday', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5241058464143794, 0.003577073414186928]"
"('Year', 'img_count', 'title_bit_count', 'author')","[0.5240875702952777, 0.003523055341316198]"
"('Weekday', 'Year', 'Day', 'img_count')","[0.5240495779707809, 0.006185994252252472]"
"('Month', 'Day', 'Hour', 'img_count', 'title_bit_count', 'channel')","[0.5240486800439419, 0.0055914082846207054]"
"('Weekday', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5240397179803113, 0.006439571887095356]"
"('Month', 'title_bit_count', 'author')","[0.524020831533927, 0.00542922827435599]"
"('Month', 'Day', 'Hour', 'link_count', 'channel')","[0.5240083477801896, 0.006412131952536401]"
"('Weekday', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5239944922902868, 0.0055632762983803255]"
"('Month', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5239656899908005, 0.0029404517102493]"
"('Day', 'link_count', 'title_word_count', 'author', 'channel')","[0.523965325634343, 0.006688574452207008]"
"('img_count', 'author')","[0.5239465890640022, 0.006685282891783419]"
"('title_word_count', 'author')","[0.5239452067761899, 0.005784394745397107]"
"('img_count', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5239261933059579, 0.0030601157593654377]"
"('Hour', 'img_count', 'content_len', 'link_count', 'author')","[0.5239177823107086, 0.006007647025641927]"
"('Month', 'Day', 'img_count', 'title_word_count', 'channel')","[0.5238983184204821, 0.005280789751630251]"
"('Month', 'Year', 'link_count', 'title_word_count', 'channel')","[0.5238894123783686, 0.0018066551934034546]"
"('Month', 'Year', 'Day', 'Hour', 'content_len', 'title_word_count')","[0.5238845364447022, 0.006609636479778835]"
"('Month', 'Year', 'link_count', 'title_bit_count')","[0.5238837919156407, 0.006507278569670851]"
"('Month', 'img_count', 'link_count', 'title_bit_count')","[0.5238643457584276, 0.00817096112942896]"
"('Month', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5238518340449317, 0.012717850367040592]"
"('Weekday', 'Year', 'Day', 'link_count')","[0.5238432117423779, 0.0064960429687300324]"
"('Weekday', 'title_word_count', 'author', 'channel')","[0.5238410878310715, 0.01035485851492985]"
"('Month', 'Hour', 'img_count', 'content_len', 'channel')","[0.523812682273466, 0.007786602496154358]"
"('Month', 'Day', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5237983021701271, 0.004975023609714257]"
"('Weekday', 'Hour', 'content_len', 'title_bit_count', 'channel')","[0.5237826500369699, 0.005255983092576376]"
"('Year', 'Hour', 'img_count', 'content_len', 'author')","[0.5237773655393756, 0.007153296866574295]"
"('Month', 'Hour', 'content_len', 'link_count', 'channel')","[0.5237118433883255, 0.009048359959253686]"
"('Year', 'Hour', 'img_count', 'author', 'channel')","[0.5237054350976071, 0.0076259657643655806]"
"('Weekday', 'Year', 'content_len', 'author')","[0.5237025233095565, 0.002596539930784232]"
"('Month', 'Day', 'content_len', 'link_count', 'channel')","[0.5236921054691104, 0.007638732697169529]"
"('Weekday', 'Day', 'Hour', 'img_count', 'link_count')","[0.5236662891956261, 0.006911212439460321]"
"('Year', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5236620654851768, 0.004260168579272005]"
"('Weekday', 'title_bit_count', 'author')","[0.5236572592441548, 0.006906114387704285]"
"('Weekday', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5236339377536197, 0.006193715439339425]"
"('Month', 'Year', 'Day', 'content_len', 'link_count')","[0.5236092826944551, 0.0096088334687204]"
"('Weekday', 'Year', 'link_count', 'channel')","[0.5235915981733024, 0.006133610976739489]"
"('Weekday', 'Hour', 'author', 'channel')","[0.5235836649209344, 0.010856680295191802]"
"('Weekday', 'title_word_count', 'author')","[0.5235816493381853, 0.004171212461874657]"
"('Weekday', 'content_len', 'title_word_count', 'author')","[0.5235417425663419, 0.004500310343602825]"
"('Year', 'Day', 'Hour', 'content_len', 'author')","[0.5234955887164799, 0.006369495343819628]"
"('Weekday', 'Year', 'title_word_count', 'title_bit_count', 'channel')","[0.5234817100917273, 0.005271306400200253]"
"('Month', 'Day', 'content_len')","[0.5234752860793659, 0.0025503728926501816]"
"('Month', 'Weekday', 'title_word_count', 'title_bit_count')","[0.523472347284685, 0.005717140014717811]"
"('Month', 'Year', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5234594428654272, 0.004806999704711643]"
"('Hour', 'author')","[0.5234568666016635, 0.010998498557883284]"
"('Month', 'Day', 'content_len', 'title_word_count')","[0.5233980885080074, 0.006985694086062861]"
"('Year', 'Hour', 'author')","[0.5233663678812775, 0.010689326471969025]"
"('Weekday', 'Hour', 'link_count', 'channel')","[0.5233485613071613, 0.008147882657159643]"
"('Month', 'Year', 'link_count', 'title_word_count')","[0.523309222352448, 0.00660983157665233]"
"('Month', 'Hour', 'title_word_count', 'author', 'channel')","[0.523283849513487, 0.00791086478542753]"
"('Month', 'Year', 'Hour', 'title_word_count')","[0.5232773149582906, 0.003117766985643233]"
"('Weekday', 'Year', 'Hour', 'content_len', 'title_word_count')","[0.5232632377526837, 0.00775189863072894]"
"('Month', 'Year', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5232545453902138, 0.0007125999817177617]"
"('Year', 'link_count', 'author')","[0.5232347394281389, 0.005388315564590073]"
"('Weekday', 'Year', 'title_word_count', 'title_bit_count', 'author')","[0.5232330764431739, 0.0054005463222025225]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5231628102482055, 0.004181290244846349]"
"('Month', 'Year', 'Hour', 'img_count')","[0.5231485698660479, 0.006232156143498297]"
"('Month', 'Year', 'Day', 'title_bit_count')","[0.5231430108525943, 0.008146141024696334]"
"('Month', 'Year', 'Day', 'content_len', 'link_count', 'title_word_count')","[0.5231212020158083, 0.00647939566416264]"
"('Hour', 'content_len', 'author', 'channel')","[0.5231187498399201, 0.00582504510660916]"
"('link_count', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5231008668831812, 0.005755797223928484]"
"('Hour', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5230997749136919, 0.006154699405060293]"
"('Year', 'title_word_count', 'author', 'channel')","[0.5230972593203516, 0.006588100998591456]"
"('Hour', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5230906157122371, 0.00416904499124538]"
"('Weekday', 'link_count', 'title_bit_count', 'author')","[0.5230761841488187, 0.007227031095343238]"
"('Month', 'img_count', 'title_word_count', 'channel')","[0.5230505270986097, 0.0018535130926903808]"
"('Month', 'Day', 'Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.5230086036861158, 0.004435726890272287]"
"('Month', 'Day', 'link_count', 'channel')","[0.5229808978831848, 0.007621170706237474]"
"('img_count', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5229792364398111, 0.006031046594336941]"
"('Hour', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.522973496719782, 0.005956509234699514]"
"('Hour', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5228949941011853, 0.003778319397812859]"
"('Weekday', 'Year', 'Hour', 'img_count', 'content_len')","[0.5228921799299616, 0.005150778047902483]"
"('Month', 'Day', 'title_word_count', 'title_bit_count', 'channel')","[0.5228920474422684, 0.005854192944921784]"
"('Year', 'title_word_count', 'channel')","[0.5228716133443956, 0.0041411915319098285]"
"('Hour', 'img_count', 'author')","[0.5228555351258667, 0.007356775830952902]"
"('img_count', 'content_len', 'link_count', 'author', 'channel')","[0.5228503126241947, 0.009380389620362639]"
"('img_count', 'link_count', 'title_word_count', 'author', 'channel')","[0.522836091518051, 0.0071747743329256385]"
"('Weekday', 'Hour', 'channel')","[0.5228205761135817, 0.007354960612406061]"
"('Weekday', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.522798542536621, 0.004007387089290847]"
"('Weekday', 'Day', 'Hour', 'link_count', 'channel')","[0.5227757731193974, 0.0039891940336205045]"
"('Weekday', 'link_count', 'title_word_count', 'author')","[0.5227695856253767, 0.004622997694979304]"
"('Month', 'title_word_count', 'author')","[0.5227694358878754, 0.00507604465950703]"
"('Weekday', 'Year', 'link_count', 'title_word_count', 'author')","[0.5227692261688042, 0.00573077032537892]"
"('Weekday', 'Year', 'Day', 'content_len', 'title_bit_count')","[0.5227687855376832, 0.005877028167408417]"
"('Weekday', 'Year', 'title_word_count', 'author')","[0.5227686313123593, 0.005002604175670729]"
"('Weekday', 'Year', 'link_count')","[0.5227584183283487, 0.004749918269236457]"
"('Weekday', 'Year', 'Day', 'img_count', 'content_len')","[0.522715101351042, 0.005887339284006978]"
"('content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5227142105781277, 0.005409535789626875]"
"('Weekday', 'Day', 'img_count', 'title_word_count', 'author')","[0.5226937577727487, 0.00389232946296416]"
"('Weekday', 'Hour', 'content_len', 'link_count', 'channel')","[0.5226806546014633, 0.009209610778730372]"
"('Weekday', 'Day', 'Hour', 'link_count', 'title_word_count')","[0.5226793529499579, 0.0028287624155103014]"
"('content_len', 'link_count', 'title_bit_count', 'author')","[0.5226655720969537, 0.009416470210223658]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'title_bit_count')","[0.5226306132248087, 0.004343071298118411]"
"('Month', 'link_count', 'author')","[0.5226071385427128, 0.00734959477553884]"
"('link_count', 'author')","[0.522570843650124, 0.00740287463977641]"
"('Day', 'Hour', 'link_count', 'author', 'channel')","[0.5225642323687278, 0.002995444767700398]"
"('Month', 'Year', 'title_word_count', 'author')","[0.5225612787794447, 0.005439986600711483]"
"('Month', 'Day', 'img_count', 'content_len', 'link_count')","[0.5225482174599284, 0.007486336011352717]"
"('Weekday', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5225305334237125, 0.008254905737349803]"
"('Hour', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5225220996653659, 0.00580503647804432]"
"('Year', 'Day', 'title_bit_count', 'author', 'channel')","[0.5223963749116091, 0.010031585224642044]"
"('Weekday', 'Day', 'content_len', 'title_word_count', 'channel')","[0.5223915441970199, 0.003496362602433067]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_word_count')","[0.5223767434688902, 0.01001344537009499]"
"('Month', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5223727831569928, 0.0013798568944458525]"
"('Month', 'Day', 'Hour', 'img_count', 'channel')","[0.5223725327145046, 0.005451101079199988]"
"('Month', 'Hour', 'link_count', 'title_bit_count')","[0.5223720028519578, 0.005555315226151891]"
"('img_count', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5223518245234761, 0.0021911873766882134]"
"('Month', 'link_count', 'title_bit_count')","[0.5223422637116271, 0.007482526218094992]"
"('Month', 'Day', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5223381034150091, 0.0054743806362576065]"
"('Month', 'Year', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5223228913507404, 0.0038825351133794615]"
"('Weekday', 'Year', 'Hour', 'title_bit_count', 'channel')","[0.5222605860205939, 0.007655140548919433]"
"('Weekday', 'title_word_count', 'title_bit_count', 'author')","[0.5222208123813445, 0.0037909697902542626]"
"('content_len', 'link_count', 'title_word_count', 'author')","[0.5222090704520703, 0.006688151093731787]"
"('Month', 'Day', 'content_len', 'link_count')","[0.5221994252346512, 0.006015906657862269]"
"('Month', 'img_count', 'title_bit_count', 'channel')","[0.5221653015140449, 0.009498216071714824]"
"('Weekday', 'title_word_count', 'title_bit_count')","[0.5221325405686675, 0.004620571636175495]"
"('Weekday', 'Day', 'title_bit_count')","[0.5221182588325747, 0.007476707413112496]"
"('Weekday', 'Day', 'img_count')","[0.5221181946546413, 0.002932396230609469]"
"('Weekday', 'content_len', 'author')","[0.5221038314202444, 0.005692218488094512]"
"('Weekday', 'Day', 'Hour', 'title_word_count', 'channel')","[0.5221013157899222, 0.008777927323756048]"
"('Month', 'Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.5220892285095486, 0.00149062372522863]"
"('Weekday', 'Day', 'Hour', 'title_bit_count', 'channel')","[0.522071720983903, 0.005024380422520714]"
"('Month', 'Day', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5220705454009081, 0.0074534609523713305]"
"('Month', 'Year', 'Day', 'Hour', 'content_len', 'link_count')","[0.5220435187925642, 0.002675086794072319]"
"('Weekday', 'Day', 'Hour', 'img_count')","[0.5220352770304134, 0.004792840836629277]"
"('Weekday', 'Day', 'img_count', 'link_count', 'title_bit_count')","[0.5220317574359653, 0.006275815723434453]"
"('Weekday', 'img_count', 'link_count', 'author')","[0.5220302947128103, 0.0074680591343508525]"
"('img_count', 'link_count', 'author', 'channel')","[0.5220222862280564, 0.006514009756796193]"
"('Month', 'Weekday', 'Year', 'content_len')","[0.5219884215923088, 0.002563782760669715]"
"('Month', 'Year', 'Day', 'img_count', 'title_bit_count', 'channel')","[0.5219759337033041, 0.006087375343214366]"
"('Month', 'Year', 'Hour', 'link_count', 'title_word_count')","[0.5219515987003618, 0.009089008058227667]"
"('Hour', 'img_count', 'author', 'channel')","[0.5219514958979776, 0.012091936409461029]"
"('Month', 'Year', 'Day', 'content_len', 'title_bit_count')","[0.5219445189728955, 0.0035554626285354283]"
"('Weekday', 'link_count', 'title_word_count', 'title_bit_count')","[0.5219416857788799, 0.006226575448217088]"
"('Month', 'Weekday', 'Hour', 'link_count')","[0.5219332279125469, 0.003866152747514082]"
"('Weekday', 'Hour', 'link_count', 'author')","[0.521932694729682, 0.009951044014295541]"
"('content_len', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5219062870024003, 0.004998114383365144]"
"('link_count', 'title_word_count', 'author', 'channel')","[0.5218632751076215, 0.003945851648487768]"
"('Year', 'Day', 'content_len', 'author', 'channel')","[0.5218377498186758, 0.004271173361789378]"
"('img_count', 'title_bit_count', 'author', 'channel')","[0.5218322548773685, 0.005435110018976521]"
"('Month', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.521823210583765, 0.008653574035093786]"
"('Month', 'Year', 'Hour', 'content_len')","[0.5218048078609654, 0.005760543885667924]"
"('Month', 'Day', 'Hour', 'link_count')","[0.5218040743140469, 0.004950973900591696]"
"('Year', 'img_count', 'content_len', 'author', 'channel')","[0.521770102652235, 0.006023350309288657]"
"('Month', 'Day', 'content_len', 'link_count', 'title_bit_count')","[0.5217534450805849, 0.008583693409831675]"
"('Year', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5217117010745358, 0.00910913646564131]"
"('Year', 'Day', 'img_count', 'content_len', 'author')","[0.5217063036051042, 0.0074436105676010545]"
"('Month', 'Year', 'img_count', 'title_bit_count')","[0.5216991957868101, 0.004064640961324196]"
"('Weekday', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5216840997149154, 0.011716088448972673]"
"('Weekday', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5216673377487958, 0.0024579511515883286]"
"('Year', 'title_bit_count', 'author', 'channel')","[0.5216657577610662, 0.00968791103488474]"
"('Month', 'Hour', 'img_count')","[0.5216561824465986, 0.004788725649881757]"
"('img_count', 'content_len', 'author', 'channel')","[0.52165430328953, 0.003946057848348114]"
"('Day', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5216014518701403, 0.007253970252380343]"
"('Month', 'img_count', 'title_bit_count')","[0.5215746725757803, 0.009124153780523427]"
"('Weekday', 'img_count', 'content_len')","[0.521498517142714, 0.001726969917059903]"
"('Weekday', 'Day', 'Hour', 'title_bit_count')","[0.5214964692250611, 0.00529748509777999]"
"('Weekday', 'Year', 'Day', 'Hour', 'title_word_count')","[0.521463689978079, 0.0036059063704578604]"
"('Weekday', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.521433644630728, 0.008239028124608673]"
"('Weekday', 'Year', 'Day', 'content_len', 'title_word_count')","[0.5214320181475687, 0.0034562190438299175]"
"('Month', 'content_len', 'link_count', 'channel')","[0.5214219719924451, 0.007219065354818325]"
"('Hour', 'author', 'channel')","[0.5213665275437693, 0.011331825107778342]"
"('Month', 'Day', 'img_count', 'content_len', 'title_word_count')","[0.5213457697551617, 0.005103573462097686]"
"('Hour', 'link_count', 'title_word_count', 'author', 'channel')","[0.5213036145176559, 0.007216500440946284]"
"('Weekday', 'Year', 'Day', 'Hour', 'link_count')","[0.5212222999482915, 0.005129995782726332]"
"('Year', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5212145235848766, 0.00495341830083118]"
"('img_count', 'title_word_count', 'author', 'channel')","[0.521206291745546, 0.0072074535731487645]"
"('Day', 'Hour', 'content_len', 'author')","[0.5211979261713242, 0.005902506864810633]"
"('Day', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5211846765685697, 0.007815142615358027]"
"('Hour', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5211739272991195, 0.00843104309003966]"
"('Month', 'Day', 'img_count', 'link_count', 'channel')","[0.5211682093271724, 0.005946982924012108]"
"('Weekday', 'Day', 'content_len', 'link_count', 'channel')","[0.5211623090283997, 0.00428376745498208]"
"('Hour', 'content_len', 'title_bit_count', 'author')","[0.5211437147411646, 0.00872580354026232]"
"('Weekday', 'Day', 'img_count', 'link_count')","[0.521132219522918, 0.006231606674361949]"
"('Month', 'Day', 'Hour', 'title_bit_count')","[0.5211168297160941, 0.005118132691259393]"
"('Month', 'Day', 'Hour', 'content_len', 'link_count')","[0.5210614858215572, 0.007401667329551701]"
"('Month', 'Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.5210323122578695, 0.0029414389587738253]"
"('Month', 'Year', 'link_count', 'title_word_count', 'title_bit_count')","[0.5210296703330068, 0.004276605875184532]"
"('Weekday', 'Year', 'Day', 'content_len', 'link_count')","[0.52102309861968, 0.007304954533285313]"
"('Month', 'Day', 'Hour', 'title_word_count', 'channel')","[0.5209879319524504, 0.005780819607885235]"
"('Month', 'Hour', 'title_word_count')","[0.5209814406305018, 0.00631178786281789]"
"('Weekday', 'Year', 'img_count', 'title_bit_count', 'channel')","[0.520975619724757, 0.004499500801695049]"
"('Month', 'link_count', 'title_bit_count', 'channel')","[0.5209726309003265, 0.005326550605007962]"
"('Weekday', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5209150433099261, 0.0066178944889503585]"
"('Month', 'Year', 'img_count', 'content_len', 'title_word_count')","[0.5209090075371685, 0.004842651477189982]"
"('Year', 'img_count', 'link_count', 'author', 'channel')","[0.5208832362623698, 0.0052642042400753]"
"('Weekday', 'Day', 'img_count', 'content_len', 'title_bit_count')","[0.520863876921928, 0.004323282673046058]"
"('Month', 'Year', 'img_count', 'link_count', 'title_bit_count')","[0.520846159590487, 0.006341816743135449]"
"('title_word_count', 'author', 'channel')","[0.5208400492768775, 0.005644219109076265]"
"('Year', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5208306689944406, 0.00655378702411249]"
"('Day', 'content_len', 'title_word_count', 'author', 'channel')","[0.5208305749003808, 0.006210617426448255]"
"('Year', 'content_len', 'author')","[0.520815653340083, 0.004181245980605]"
"('Month', 'Day', 'Hour', 'title_word_count')","[0.5207983506951566, 0.007878984548866949]"
"('Hour', 'link_count', 'author', 'channel')","[0.5207623953328218, 0.007485237196364512]"
"('Month', 'link_count', 'title_word_count')","[0.5207212774157137, 0.004216379748186647]"
"('Weekday', 'Year', 'img_count', 'content_len', 'title_word_count')","[0.5206977413593317, 0.005937975793779126]"
"('Year', 'img_count', 'content_len', 'link_count', 'author')","[0.5206970449835262, 0.007172264703024843]"
"('Month', 'Day', 'img_count', 'link_count')","[0.5206932569945553, 0.0024683534037566175]"
"('Month', 'img_count', 'content_len', 'link_count', 'channel')","[0.5206906553247881, 0.007197240809226781]"
"('Weekday', 'Day', 'Hour', 'content_len', 'title_word_count')","[0.5206821273616973, 0.007490771564612844]"
"('Weekday', 'Year', 'Day', 'title_word_count', 'author')","[0.5206749958333046, 0.004946446937267055]"
"('Weekday', 'Day', 'content_len', 'title_bit_count', 'channel')","[0.5206646716760208, 0.003783481378907976]"
"('Month', 'link_count', 'channel')","[0.5206468857717821, 0.002873520054232186]"
"('Weekday', 'Day', 'img_count', 'title_word_count', 'channel')","[0.5206308347659584, 0.00464497478896448]"
"('img_count', 'title_bit_count', 'author')","[0.5206258706985873, 0.004632736805299278]"
"('Weekday', 'Year', 'title_word_count', 'title_bit_count')","[0.5206130806661096, 0.005207757640064423]"
"('Year', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.5205995642691524, 0.005432657893945803]"
"('Month', 'Day', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.520596873967672, 0.0051846868916651445]"
"('Year', 'Hour', 'content_len', 'title_word_count', 'author')","[0.5205957617250496, 0.006556411636901811]"
"('Year', 'Hour', 'link_count', 'author', 'channel')","[0.5205805670417541, 0.008951224289986489]"
"('Year', 'img_count', 'content_len', 'author')","[0.5205617438557804, 0.007229654459830868]"
"('Year', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5205408503333526, 0.007106973650090661]"
"('Weekday', 'Year', 'title_bit_count', 'channel')","[0.5205375512777299, 0.0017923763907467807]"
"('Day', 'Hour', 'img_count', 'content_len', 'author')","[0.5205236103740241, 0.009018535613549065]"
"('title_word_count', 'title_bit_count', 'author', 'channel')","[0.5205000375024775, 0.00528049532942629]"
"('img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5204760562644506, 0.003950917096515849]"
"('Weekday', 'Day', 'content_len', 'channel')","[0.5204712810838295, 0.0063800136423344]"
"('img_count', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5204601341568904, 0.006129996727661993]"
"('Month', 'title_word_count', 'title_bit_count', 'channel')","[0.5204490420187879, 0.007378888318305811]"
"('Day', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5204094851739632, 0.004610394829945863]"
"('Month', 'Day', 'Hour', 'title_bit_count', 'channel')","[0.5204085399473664, 0.0032231424792237523]"
"('Day', 'link_count', 'title_word_count', 'author')","[0.5203909638888646, 0.004735257747870288]"
"('title_word_count', 'channel')","[0.5203795735477996, 0.005692642591814419]"
"('Weekday', 'Day', 'content_len', 'title_word_count')","[0.5203732457209505, 0.0056377529901583965]"
"('Weekday', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.520361639833167, 0.0034079091408876446]"
"('Year', 'Day', 'content_len', 'author')","[0.5203304630789084, 0.008525762159564885]"
"('Weekday', 'Year', 'Day', 'img_count', 'title_word_count')","[0.5202870430383945, 0.0026292696253896563]"
"('Weekday', 'Day', 'Hour', 'link_count')","[0.5202852051743432, 0.002619469671870776]"
"('Month', 'title_bit_count', 'channel')","[0.5202762820968719, 0.007890117248840514]"
"('Month', 'Day', 'Hour', 'link_count', 'title_word_count')","[0.5202690949443681, 0.003945633283309265]"
"('Day', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5202388864863153, 0.007449415351239005]"
"('Weekday', 'Year', 'Day', 'Hour', 'channel')","[0.5202181982309484, 0.005166306680891078]"
"('Hour', 'content_len', 'author')","[0.5202047646150585, 0.00792756774504075]"
"('Month', 'Hour', 'content_len', 'title_bit_count')","[0.5201846293923316, 0.006084830060732032]"
"('Weekday', 'Year', 'Hour', 'title_word_count', 'title_bit_count')","[0.5201818458573373, 0.005999570621914142]"
"('Weekday', 'Hour', 'link_count')","[0.5201758926763864, 0.0075601658732281215]"
"('Weekday', 'Day', 'link_count')","[0.5201745940968933, 0.00630651158919417]"
"('Day', 'link_count', 'author', 'channel')","[0.5201464827376516, 0.005660266712470028]"
"('Day', 'Hour', 'author', 'channel')","[0.5201405890632922, 0.007759599723932184]"
"('link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5201268892245523, 0.005053864066867289]"
"('Weekday', 'Hour', 'content_len', 'link_count', 'title_word_count')","[0.5200854324508188, 0.006495126638903214]"
"('Year', 'Hour', 'content_len', 'link_count', 'author')","[0.5200708669114738, 0.0101263293168086]"
"('Weekday', 'Year', 'img_count', 'content_len', 'channel')","[0.520035163705019, 0.007223830225994035]"
"('Weekday', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5200046362917111, 0.008746949176965035]"
"('Month', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5199811599146733, 0.0028836760129763365]"
"('Weekday', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5199371283913801, 0.01072702679211684]"
"('Year', 'title_bit_count', 'author')","[0.5199203077982734, 0.0070906463085981045]"
"('Year', 'Day', 'img_count', 'title_bit_count', 'author')","[0.5199173769337201, 0.006651930535828473]"
"('Weekday', 'img_count', 'content_len', 'link_count', 'title_word_count')","[0.5199149471724571, 0.0038042961971984385]"
"('Weekday', 'Year', 'Day', 'title_bit_count', 'channel')","[0.5199124820299119, 0.010278508810196584]"
