combination,accuracy
"('Month', 'Weekday', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.5412445653747368, 0.007461975608412555]"
"('Month', 'Weekday', 'Day', 'content_len', 'link_count', 'author')","[0.5412083410252437, 0.007761167991437845]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_bit_count', 'author')","[0.5411990859221987, 0.003350993720877]"
"('Month', 'Weekday', 'Day', 'author', 'channel')","[0.5411370610143251, 0.005652891440110564]"
"('Month', 'Year', 'Hour')","[0.5411169254407108, 0.003524632210647109]"
"('Month', 'Weekday', 'Day', 'link_count', 'title_bit_count', 'channel')","[0.5409762261360895, 0.007008953632238882]"
"('Month', 'Weekday', 'Day', 'img_count', 'content_len', 'title_bit_count')","[0.5409111796039466, 0.004503713743746584]"
"('Month', 'Year', 'img_count')","[0.5409056934027061, 0.0029944802982222922]"
"('Weekday', 'Year', 'author')","[0.5408821440067725, 0.010291455361674721]"
"('Weekday', 'Year', 'title_word_count')","[0.540872540918575, 0.0089228440098695]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_word_count', 'channel')","[0.5408035771791984, 0.004169558176240497]"
"('Month', 'Weekday', 'Year', 'Hour', 'content_len', 'title_bit_count')","[0.540778353621398, 0.004339607537291901]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_bit_count', 'author')","[0.5407701214502432, 0.007621803727189561]"
"('Month', 'Year', 'Hour', 'content_len', 'title_word_count', 'author')","[0.5407273536716412, 0.008644354689411538]"
"('Month', 'Weekday', 'Day', 'channel')","[0.540696840965939, 0.002980579731726002]"
"('Month', 'Weekday', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5406927355888879, 0.00586437770788862]"
"('Month', 'Weekday', 'Year', 'Hour', 'title_bit_count', 'channel')","[0.540670582507998, 0.00451290902475982]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5406416629134947, 0.0042859588489056934]"
"('Month', 'Hour', 'img_count', 'content_len', 'author')","[0.5406358798347062, 0.008852041195852284]"
"('Month', 'Weekday', 'Year', 'content_len', 'title_word_count', 'author')","[0.5406287908360842, 0.008897475547378257]"
"('Month', 'img_count', 'content_len', 'author')","[0.5406177474730587, 0.005118978731142706]"
"('Month', 'Weekday', 'link_count', 'author', 'channel')","[0.5404563625156956, 0.005573832626105068]"
"('Month', 'Weekday', 'Year', 'author')","[0.5404349738373229, 0.005263372121519514]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.5403531989457299, 0.009300157072820463]"
"('Month', 'Weekday', 'Hour', 'content_len', 'link_count', 'channel')","[0.5403511776118854, 0.00450755334797937]"
"('Month', 'Weekday', 'Year', 'Hour', 'content_len')","[0.540340097242193, 0.002384712388737423]"
"('Month', 'Year', 'Day', 'img_count', 'content_len', 'author')","[0.5403363140253828, 0.008934589719931435]"
"('Month', 'Year', 'Hour', 'content_len', 'link_count', 'author')","[0.540334329622772, 0.006902456988232781]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'author', 'channel')","[0.5403228669573233, 0.006278177457392847]"
"('Month', 'Weekday', 'Year', 'Day', 'title_word_count', 'channel')","[0.540299154517275, 0.004266985979673767]"
"('Month', 'Weekday', 'Day', 'Hour', 'img_count', 'content_len')","[0.5402065495308935, 0.005092431779743282]"
"('Month', 'Hour')","[0.5401798078912681, 0.0057910544562814635]"
"('Month', 'Weekday', 'Year', 'img_count', 'title_bit_count', 'author')","[0.5401773996708665, 0.003962046741657725]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_word_count', 'author')","[0.5401565643160711, 0.006732930201747167]"
"('Month', 'Year', 'Day', 'Hour', 'img_count', 'author')","[0.5401524107516661, 0.010078155039829579]"
"('Weekday', 'Year', 'author', 'channel')","[0.5400699986224893, 0.008224173371281108]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_word_count', 'channel')","[0.5399736715404337, 0.004394248066823016]"
"('Month', 'Weekday', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5399679786492462, 0.006207674363230615]"
"('Month', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5399517711767109, 0.007250568146813254]"
"('Month', 'Year', 'Hour', 'img_count', 'link_count', 'author')","[0.5399310558648016, 0.0093766932260132]"
"('Month', 'Year', 'Hour', 'link_count', 'author', 'channel')","[0.5399295313269744, 0.010507554064212936]"
"('Month', 'Weekday', 'Year', 'title_word_count', 'title_bit_count', 'author')","[0.5398888891540897, 0.008471954440872087]"
"('Month', 'Weekday', 'content_len', 'author')","[0.5398244434756524, 0.005052537183049241]"
"('Month', 'Weekday', 'Hour', 'link_count', 'author')","[0.5397984327126059, 0.005913460790854941]"
"('Month', 'Weekday', 'Year', 'title_bit_count', 'author')","[0.5396454917509932, 0.005005457222301456]"
"('Month', 'Weekday', 'img_count', 'author')","[0.539586461109842, 0.0021656384718681298]"
"('Month', 'Weekday', 'Day', 'img_count', 'author', 'channel')","[0.5395837195272488, 0.010567337903563888]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.539460178496529, 0.005571428810933616]"
"('Month', 'Weekday', 'Year', 'Day', 'author')","[0.5394513889480951, 0.009337701328096342]"
"('Month', 'Weekday', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5394401686471972, 0.006456653465469598]"
"('Month', 'Weekday', 'Hour', 'title_word_count', 'author', 'channel')","[0.5393939456181537, 0.006944707639003011]"
"('Month', 'Weekday', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5393897568172996, 0.0046181191400427824]"
"('Month', 'Year', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5393780286869289, 0.0045585266844755746]"
"('Month', 'Weekday', 'Day', 'Hour', 'link_count')","[0.5393728090432811, 0.005712970945155863]"
"('Month', 'Weekday', 'Year', 'Hour', 'content_len', 'link_count')","[0.5393625857776192, 0.006470414402065256]"
"('Month', 'Weekday', 'Day', 'content_len', 'channel')","[0.5392833812837478, 0.005616262823269119]"
"('Month', 'img_count', 'content_len', 'link_count', 'author')","[0.539255535062436, 0.009321563527406223]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len', 'author')","[0.5392517781010919, 0.007516613811941533]"
"('Month', 'Year', 'Day', 'author', 'channel')","[0.5392445115852288, 0.011799302588796254]"
"('Month', 'Hour', 'content_len', 'link_count', 'author')","[0.5391915925040986, 0.007251233445233552]"
"('Month', 'Year', 'img_count', 'content_len', 'author')","[0.5391770609158939, 0.005160192644562828]"
"('Month', 'Weekday', 'Year', 'content_len', 'link_count', 'channel')","[0.5391586737382712, 0.007789179507231214]"
"('Month', 'Year', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5391264210683964, 0.007644359319462971]"
"('Month', 'Weekday', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5390515036920057, 0.005072510452812925]"
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'channel')","[0.5390486475528362, 0.007678836378720757]"
